name,unit,amount,category,source_external_id,is_canonical,calories,fat,protein,carbs,fiber,sugar,sodium,calcium,iron,magnesium,potassium,phosphorus,cholesterol,trans_fat,saturated_fat,water,omega3,omega6,zinc,vitamin_c,glycemic_load,kcal_per_g,burn_run_10kph_min_per_g,burn_walk_7kph_min_per_g,burn_cycle_15kph_min_per_g,burn_swim_crawl_min_per_g,burn_hike_min_per_g,burn_aerobics_min_per_g,nutrient_source,nutrient_source_ref,nutrient_match_score,data_quality_status,data_quality_flags
شیر 2 درصد پاستوریزه,گرم,100,لبنیات,,true,50,1.9,3.4,4.9,0,,,,,,,,,,,,,,,,,0.5,0.041649,0.077012,0.070373,0.049176,0.058309,0.060024,gymshow,gymshow_foods_nutrition7000.csv,,verified,
شیر 3 درصد چربی پاستوریزه,فنجان,1,لبنیات,,false,146.4,8.05,7.81,12.93,0,,,,,,,,,,,,,,,,,1.22,0.101624,0.187909,0.17171,0.11999,0.142274,0.146459,gymshow,gymshow_foods_nutrition7000.csv,,verified,
شیر 3 درصد چربی پاستوریزه,گرم,100,لبنیات,,true,60,3.3,3.2,5.3,0,,,,,,,,,,,,,,,,,0.6,0.049979,0.092414,0.084448,0.059012,0.069971,0.072029,gymshow,gymshow_foods_nutrition7000.csv,,verified,
شیر انسان,گرم,100,لبنیات,,true,70,4.4,1,7,0,7,,,,,,,,,,,,,,,,0.7,0.058309,0.107817,0.098522,0.068847,0.081633,0.084034,gymshow,gymshow_foods_nutrition7000.csv,,verified,
شیر بادام,لیوان,1,خشکبار و آجیل,,false,45.6,3.84,1.68,1.68,1.68,,,,,,,,,,,,,,,,,0.19,0.015827,0.029265,0.026742,0.018687,0.022157,0.022809,gymshow,gymshow_foods_nutrition7000.csv,,verified,
شیر بادام,گرم,100,خشکبار و آجیل,,true,17,1.35,0.65,0.65,0.35,0,,,,,,,,,,,,,,,,0.17,0.014161,0.026184,0.023927,0.01672,0.019825,0.020408,gymshow,gymshow_foods_nutrition7000.csv,,verified,
شیر بادام شکلاتی,گرم,100,شیرینی و دسر,,true,50,1.2,0.6,9,0.4,8.7,,,,,,,,,,,,,,,,0.5,0.041649,0.077012,0.070373,0.049176,0.058309,0.060024,gymshow,gymshow_foods_nutrition7000.csv,,verified,
شیر بدون لاکتوز (کم چرب) ماهشام,گرم,100,لبنیات,,true,47,1.7,0,0,0,0,,,,,,,,,,,,,,,,0.47,0.03915,0.072391,0.066151,0.046226,0.05481,0.056423,gymshow,gymshow_foods_nutrition7000.csv,,needs_review,macro-energy mismatch (15.3 vs 47.0 kcal)
شیر بدون چربی,قاشق غذاخوری (15 گرم),1,لبنیات,70050,false,5.25,0.02,0.51,0.75,0.1743,0.75,6.3,18.3,0.0063,1.6496,23.4,15.15,,,,13.626,0.0003,0.0008,0.063,0,,0.35,0.029155,0.053908,0.049261,0.034423,0.040816,0.042017,merged,FoodID:70050|شیر بدون چربی Milk,1,verified,
شیر بدون چربی,قاشق چای‌خوری (5 گرم),1,لبنیات,70050,false,1.75,0.01,0.17,0.25,0.0581,0.25,2.1,6.1,0.0021,0.5499,7.8,5.05,,,,4.542,0.0001,0.0003,0.021,0,,0.35,0.029155,0.053908,0.049261,0.034423,0.040816,0.042017,merged,FoodID:70050|شیر بدون چربی Milk,1,verified,
شیر بدون چربی,لیتر (1000 گرم),1,لبنیات,70050,false,350,1,34,50,11.6179,50,420,1220,0.4207,109.9731,1560,1010,,,,908.4,0.02,0.05,4.2,0,,0.35,0.029155,0.053908,0.049261,0.034423,0.040816,0.042017,merged,FoodID:70050|شیر بدون چربی Milk,1,verified,
شیر بدون چربی,لیوان (240 گرم),1,لبنیات,70050,false,84,0.24,8.16,12,2.7883,12,100.8,292.8,0.101,26.3935,374.4,242.4,,,,218.016,0.0048,0.012,1.008,0,,0.35,0.029155,0.053908,0.049261,0.034423,0.040816,0.042017,merged,FoodID:70050|شیر بدون چربی Milk,1,verified,
شیر بدون چربی,میلی‌لیتر (1 گرم),1,لبنیات,70050,false,0.35,0,0.03,0.05,0.0116,0.05,0.42,1.22,0.0004,0.11,1.56,1.01,,,,0.9084,0,0.0001,0.0042,0,,0.35,0.029155,0.053908,0.049261,0.034423,0.040816,0.042017,merged,FoodID:70050|شیر بدون چربی Milk,1,verified,
شیر بدون چربی,پیمانه (250 گرم),1,لبنیات,70050,false,87.5,0.25,8.5,12.5,2.9045,12.5,105,305,0.1052,27.4933,390,252.5,,,,227.1,0.005,0.0125,1.05,0,,0.35,0.029155,0.053908,0.049261,0.034423,0.040816,0.042017,merged,FoodID:70050|شیر بدون چربی Milk,1,verified,
شیر بدون چربی,گرم,100,لبنیات,70050,true,35,0.1,3.4,5,1.1618,5,42,122,0.0421,10.9973,156,101,,,,90.84,0.002,0.005,0.42,0,,0.35,0.029155,0.053908,0.049261,0.034423,0.040816,0.042017,merged,FoodID:70050|شیر بدون چربی Milk,1,verified,
شیر بدون چربی خشک,قاشق غذاخوری,1,لبنیات,70050,false,34.8,0.06,3.61,5.29,0,,6.3,18.3,0.0063,1.6496,23.4,15.15,,,,13.626,0.0003,0.0008,0.063,0,,2.32,0.193253,0.357335,0.326531,0.228178,0.270554,0.278511,merged,FoodID:70050|شیر بدون چربی Milk,0.9,verified,
شیر بدون چربی خشک,لیوان,1,لبنیات,70050,false,522,0.9,54.15,79.35,0,,100.8,292.8,0.101,26.3935,374.4,242.4,,,,218.016,0.0048,0.012,1.008,0,,2.175,0.181175,0.335002,0.306122,0.213917,0.253644,0.261104,merged,FoodID:70050|شیر بدون چربی Milk,0.9,verified,
شیر بدون چربی خشک,گرم,100,لبنیات,70050,true,348,0.6,36.1,52.9,0,,42,122,0.0421,10.9973,156,101,,,,90.84,0.002,0.005,0.42,0,,3.48,0.289879,0.536003,0.489796,0.342267,0.405831,0.417767,merged,FoodID:70050|شیر بدون چربی Milk,0.9,verified,
شیر بدون چربی پاستوریزه,فنجان,1,لبنیات,70050,false,79.2,0,7.92,12,0,,50.4,146.4,0.0505,13.1968,187.2,121.2,,,,109.008,0.0024,0.006,0.504,0,,0.66,0.054977,0.101656,0.092892,0.064913,0.076968,0.079232,merged,FoodID:70050|شیر بدون چربی Milk,0.9,verified,
شیر بدون چربی پاستوریزه,فنجان (50 گرم),1,لبنیات,70050,false,17,0.5,17,2.5,0.5809,2.5,21,61,0.021,5.4987,78,50.5,,,,45.42,0.001,0.0025,0.21,0,,0.34,0.028322,0.052368,0.047854,0.03344,0.03965,0.040816,merged,FoodID:70050|شیر بدون چربی Milk,0.9,verified,
شیر بدون چربی پاستوریزه,گرم,100,لبنیات,70050,true,33.5,0.5,18.65,5,0,5,42,122,0.0421,10.9973,156,101,,,,90.84,0.002,0.005,0.42,0,,0.335,0.027905,0.051598,0.04715,0.032948,0.039067,0.040216,merged,FoodID:70050|شیر بدون چربی Milk,0.9,needs_review,macro-energy mismatch (99.1 vs 33.5 kcal)
شیر برنج,قاشق غذاخوری,1,لبنیات,,false,26.5,0.4,0.95,4.65,0.13,,,,,,,,,,,,,,,,,1.766667,0.147161,0.272109,0.248651,0.173756,0.206025,0.212085,gymshow,gymshow_foods_nutrition7000.csv,,verified,
شیر برنج,ملاقه,1,لبنیات,,false,159,2.4,5.7,27.9,0.75,,,,,,,,,,,,,,,,,5.3,0.441483,0.816327,0.745954,0.521269,0.618076,0.636255,gymshow,gymshow_foods_nutrition7000.csv,,verified,
شیر برنج,گرم,100,لبنیات,,true,108.5,1.6,3.55,19.8,0.3,11,,,,,,,,,,,,,,,,1.085,0.090379,0.167116,0.152709,0.106713,0.126531,0.130252,gymshow,gymshow_foods_nutrition7000.csv,,verified,
شیر برنج بدون شکر,قاشق غذاخوری,1,لبنیات,,false,16.5,0.2,0.8,2.83,0.1,,,,,,,,,,,,,,,,,1.1,0.091628,0.169426,0.154821,0.108188,0.12828,0.132053,gymshow,gymshow_foods_nutrition7000.csv,,verified,
شیر برنج بدون شکر,ملاقه,1,لبنیات,,false,99,1.2,4.8,16.95,0.6,,,,,,,,,,,,,,,,,3.3,0.274885,0.508279,0.464462,0.324564,0.38484,0.396158,gymshow,gymshow_foods_nutrition7000.csv,,verified,
شیر برنج بدون شکر,گرم,100,لبنیات,,true,66,0.8,3.2,11.3,0.4,,,,,,,,,,,,,,,,,0.66,0.054977,0.101656,0.092892,0.064913,0.076968,0.079232,gymshow,gymshow_foods_nutrition7000.csv,,verified,
شیر بز,گرم,100,لبنیات,,true,69,4.1,3.5,4.4,0,4.4,,,,,,,,,,,,,,,,0.69,0.057476,0.106276,0.097115,0.067863,0.080466,0.082833,gymshow,gymshow_foods_nutrition7000.csv,,verified,
شیر بز پاستوریزه,فنجان,1,لبنیات,,false,148.8,7.92,7.92,12,0,,,,,,,,,,,,,,,,,1.24,0.10329,0.19099,0.174525,0.121957,0.144606,0.14886,gymshow,gymshow_foods_nutrition7000.csv,,verified,
شیر بز پاستوریزه,گرم,100,لبنیات,,true,62,3.3,3.3,5,0,,,,,,,,,,,,,,,,,0.62,0.051645,0.095495,0.087262,0.060979,0.072303,0.07443,gymshow,gymshow_foods_nutrition7000.csv,,verified,
شیر جو,فنجان,1,لبنیات,,false,115.2,6.72,1.92,12.24,1.68,,,,,,,,,,,,,,,,,0.96,0.079967,0.147863,0.135116,0.094418,0.111953,0.115246,gymshow,gymshow_foods_nutrition7000.csv,,verified,
شیر جو,گرم,100,لبنیات,,true,48,2.8,0.8,5.1,0.7,,,,,,,,,,,,,,,,,0.48,0.039983,0.073931,0.067558,0.047209,0.055977,0.057623,gymshow,gymshow_foods_nutrition7000.csv,,verified,
شیر جو دوسر آژِیل,گرم,100,لبنیات,,true,25,0.5,0.8,0,0,0,,,,,,,,,,,,,,,,0.25,0.020825,0.038506,0.035186,0.024588,0.029155,0.030012,gymshow,gymshow_foods_nutrition7000.csv,,needs_review,macro-energy mismatch (7.7 vs 25.0 kcal)
شیر جو دوسر پرک,فنجان,1,لبنیات,,false,180,0.96,1.92,0,0,0,,,,,,,,,,,,,,,,1.5,0.124948,0.231036,0.211119,0.147529,0.174927,0.180072,gymshow,gymshow_foods_nutrition7000.csv,,verified,
شیر جو دوسر پرک,گرم,100,لبنیات,,true,75,0.4,0.8,0,0,0,,,,,,,,,,,,,,,,0.75,0.062474,0.115518,0.105559,0.073764,0.087464,0.090036,gymshow,gymshow_foods_nutrition7000.csv,,needs_review,macro-energy mismatch (6.8 vs 75.0 kcal)
شیر خشک,گرم,100,لبنیات,,true,496,27,26,38,0,38,,,,,,,,,,,,,,,,4.96,0.413161,0.763958,0.6981,0.487829,0.578426,0.595438,gymshow,gymshow_foods_nutrition7000.csv,,verified,
شیر خشک اسکیم (بدون چربی),گرم,100,لبنیات,,true,363,0.1,30,54,0,,,,,,,,,,,,,,,,,3.63,0.302374,0.559107,0.510908,0.35702,0.423324,0.435774,gymshow,gymshow_foods_nutrition7000.csv,,verified,
شیر سویا,گرم,100,لبنیات,,true,54,1.8,3.3,6,0.6,4,,,,,,,,,,,,,,,,0.54,0.044981,0.083173,0.076003,0.05311,0.062974,0.064826,gymshow,gymshow_foods_nutrition7000.csv,,verified,
شیر سویا ساده,لیوان,1,لبنیات,,false,131.22,4.37,8.02,14.58,1.46,,,,,,,,,,,,,,,,,0.54675,0.045544,0.084213,0.076953,0.053774,0.063761,0.065636,gymshow,gymshow_foods_nutrition7000.csv,,verified,
شیر سویا ساده,گرم,100,لبنیات,,true,54,1.8,3.3,6,0.6,,,,,,,,,,,,,,,,,0.54,0.044981,0.083173,0.076003,0.05311,0.062974,0.064826,gymshow,gymshow_foods_nutrition7000.csv,,verified,
شیر سویا شکلاتی,گرم,100,شیرینی و دسر,,true,63,1.5,2.3,10,0.4,8,,,,,,,,,,,,,,,,0.63,0.052478,0.097035,0.08867,0.061962,0.073469,0.07563,gymshow,gymshow_foods_nutrition7000.csv,,verified,
شیر سویا طعم دار شده,لیوان,1,لبنیات,,false,153.09,3.65,5.59,24.3,0.97,,,,,,,,,,,,,,,,,0.637875,0.053134,0.098248,0.089778,0.062737,0.074388,0.076576,gymshow,gymshow_foods_nutrition7000.csv,,verified,
شیر سویا طعم دار شده,گرم,100,لبنیات,,true,63,1.5,2.3,10,0.4,,,,,,,,,,,,,,,,,0.63,0.052478,0.097035,0.08867,0.061962,0.073469,0.07563,gymshow,gymshow_foods_nutrition7000.csv,,verified,
شیر شتر,گرم,100,لبنیات,,true,46,1.8,2,4.5,0,3.3,,,,,,,,,,,,,,,,0.46,0.038317,0.070851,0.064743,0.045242,0.053644,0.055222,gymshow,gymshow_foods_nutrition7000.csv,,verified,
شیر طعم دار شده,لیوان,1,لبنیات,,false,170,3.75,9,26.5,0,,,,,,,,,,,,,,,,,0.708333,0.059003,0.1091,0.099695,0.069666,0.082604,0.085034,gymshow,gymshow_foods_nutrition7000.csv,,verified,
شیر طعم دار شده,گرم,100,لبنیات,,true,68,1.5,3.6,10.6,0,,,,,,,,,,,,,,,,,0.68,0.056643,0.104736,0.095707,0.06688,0.0793,0.081633,gymshow,gymshow_foods_nutrition7000.csv,,verified,
شیر فندق,گرم,100,خشکبار و آجیل,,true,45,1.5,1,7.2,0.5,0.1,,,,,,,,,,,,,,,,0.45,0.037484,0.069311,0.063336,0.044259,0.052478,0.054022,gymshow,gymshow_foods_nutrition7000.csv,,verified,
شیر قهوه,لیوان,1,نوشیدنی,,false,198.45,1.23,1.96,46.55,0,,,,,,,,,,,,,,,,,0.826875,0.068878,0.127358,0.116379,0.081325,0.096429,0.099265,gymshow,gymshow_foods_nutrition7000.csv,,verified,
شیر قهوه,گرم,100,نوشیدنی,,true,81,0.5,0.8,19,0,,,,,,,,,,,,,,,,,0.81,0.067472,0.124759,0.114004,0.079666,0.094461,0.097239,gymshow,gymshow_foods_nutrition7000.csv,,verified,
شیر قهوه بدون شکر (لاته),فنجان,1,نوشیدنی,,false,103.2,3.84,6.72,10.56,0,,,,,,,,,,,,,,,,,0.86,0.071637,0.132461,0.121042,0.084583,0.100292,0.103241,gymshow,gymshow_foods_nutrition7000.csv,,verified,
شیر قهوه بدون شکر (لاته),گرم,100,نوشیدنی,,true,43,1.6,2.8,4.4,0,,,,,,,,,,,,,,,,,0.43,0.035818,0.06623,0.060521,0.042292,0.050146,0.051621,gymshow,gymshow_foods_nutrition7000.csv,,verified,
شیر ماهی,تکه / لقمه,1,لبنیات,,false,51.6,2.4,7.2,0,0,0,,,,,,,,,,,,,,,,1.72,0.143274,0.264921,0.242083,0.169166,0.200583,0.206483,gymshow,gymshow_foods_nutrition7000.csv,,verified,
شیر ماهی,سهم / پرس,1,لبنیات,,false,197.8,9.2,27.6,0,0,0,,,,,,,,,,,,,,,,0.7912,0.065906,0.121864,0.111358,0.077817,0.092268,0.094982,gymshow,gymshow_foods_nutrition7000.csv,,verified,
شیر ماهی,گرم,100,لبنیات,,true,172,8,24,0,0,0,,,,,,,,,,,,,,,,1.72,0.143274,0.264921,0.242083,0.169166,0.200583,0.206483,gymshow,gymshow_foods_nutrition7000.csv,,verified,
شیر موز,قاشق غذاخوری (15 گرم),1,لبنیات,,false,9.75,0.18,0.38,1.73,,1.42,,,,,,,,,,,,,,,,0.65,0.054144,0.100116,0.091485,0.063929,0.075802,0.078031,gymshow,gymshow_foods_nutrition7000.csv,,verified,
شیر موز,لیوان,1,لبنیات,,false,222.5,5,10,40,2.5,,,,,,,,,,,,,,,,,0.927083,0.077225,0.142793,0.130483,0.091181,0.108115,0.111295,gymshow,gymshow_foods_nutrition7000.csv,,verified,
شیر موز,لیوان (240 گرم),1,لبنیات,,false,156,2.88,6,27.6,,22.8,,,,,,,,,,,,,,,,0.65,0.054144,0.100116,0.091485,0.063929,0.075802,0.078031,gymshow,gymshow_foods_nutrition7000.csv,,verified,
شیر موز,میلی‌لیتر (1 گرم),1,لبنیات,,false,0.65,0.01,0.03,0.12,,0.1,,,,,,,,,,,,,,,,0.65,0.054144,0.100116,0.091485,0.063929,0.075802,0.078031,gymshow,gymshow_foods_nutrition7000.csv,,verified,
شیر موز,کاسه (350 گرم),1,لبنیات,,false,227.5,4.2,8.75,40.25,,33.25,,,,,,,,,,,,,,,,0.65,0.054144,0.100116,0.091485,0.063929,0.075802,0.078031,gymshow,gymshow_foods_nutrition7000.csv,,verified,
شیر موز,گرم,100,لبنیات,,true,70.67,1.43,2.92,12.08,0.6,9.7,,,,,,,,,,,,,,,,0.7067,0.058867,0.108849,0.099465,0.069506,0.082414,0.084838,gymshow,gymshow_foods_nutrition7000.csv,,verified,
شیر نارگیل,لیوان,1,لبنیات,,false,575,60,5.75,15,5.5,,,,,,,,,,,,,,,,,2.395833,0.19957,0.369016,0.337204,0.235636,0.279397,0.287615,gymshow,gymshow_foods_nutrition7000.csv,,verified,
شیر نارگیل,گرم,100,لبنیات,,true,230,24,2.3,6,2.2,3.3,,,,,,,,,,,,,,,,2.3,0.191587,0.354255,0.323716,0.226211,0.268222,0.27611,gymshow,gymshow_foods_nutrition7000.csv,,verified,
شیر نسکافه بدون شکر,لیوان,1,لبنیات,,false,112.8,3.36,7.2,10.32,6.48,,,,,,,,,,,,,,,,,0.47,0.03915,0.072391,0.066151,0.046226,0.05481,0.056423,gymshow,gymshow_foods_nutrition7000.csv,,verified,
شیر نسکافه بدون شکر,گرم,100,لبنیات,,true,47,1.4,3,4.3,2.7,,,,,,,,,,,,,,,,,0.47,0.03915,0.072391,0.066151,0.046226,0.05481,0.056423,gymshow,gymshow_foods_nutrition7000.csv,,verified,
شیر ٪۰ چرب,گرم,100,لبنیات,70020,true,35,0.1,3.4,5,0,5,47,120,0.0329,10.9973,140,92,,,,89.21,0.008,0.062,0.48,0.2,23.2,0.35,0.029155,0.053908,0.049261,0.034423,0.040816,0.042017,merged,FoodID:70020|شیر نیم‌چرب Milk,0.88,verified,
شیر ٪۱ چرب,گرم,100,لبنیات,70020,true,42,1,3.4,5,0,5,47,120,0.0329,10.9973,140,92,,,,89.21,0.008,0.062,0.48,0.2,23.2,0.42,0.034985,0.06469,0.059113,0.041308,0.04898,0.05042,merged,FoodID:70020|شیر نیم‌چرب Milk,0.88,verified,
شیر ٪۱.۵ چرب,گرم,100,لبنیات,70020,true,46,1.5,3.3,4.9,0,4.9,47,120,0.0329,10.9973,140,92,,,,89.21,0.008,0.062,0.48,0.2,23.2,0.46,0.038317,0.070851,0.064743,0.045242,0.053644,0.055222,merged,FoodID:70020|شیر نیم‌چرب Milk,0.88,verified,
شیر ٪۲ چرب,گرم,100,لبنیات,70020,true,50,2,3.3,4.8,0,4.8,47,120,0.0329,10.9973,140,92,,,,89.21,0.008,0.062,0.48,0.2,23.2,0.5,0.041649,0.077012,0.070373,0.049176,0.058309,0.060024,merged,FoodID:70020|شیر نیم‌چرب Milk,0.88,verified,
شیر ٪۳.۲۵ چرب,گرم,100,لبنیات,70020,true,61,3.3,3.2,4.8,0,4.8,47,120,0.0329,10.9973,140,92,,,,89.21,0.008,0.062,0.48,0.2,23.2,0.61,0.050812,0.093955,0.085855,0.059995,0.071137,0.073229,merged,FoodID:70020|شیر نیم‌چرب Milk,0.88,verified,
شیر ٪۳.۷ چرب,گرم,100,لبنیات,70020,true,64,3.7,3.3,4.7,0,4.7,47,120,0.0329,10.9973,140,92,,,,89.21,0.008,0.062,0.48,0.2,23.2,0.64,0.053311,0.098575,0.090077,0.062946,0.074636,0.076831,merged,FoodID:70020|شیر نیم‌چرب Milk,0.88,verified,
شیر پاستوریزه 3 درصد چربی,قاشق غذاخوری (15.5 گرم),1,لبنیات,,false,9.14,0.46,0.5,0.74,,0.74,,,,,,,,,,,,,,,,0.589677,0.049119,0.090824,0.082995,0.057996,0.068767,0.07079,gymshow,gymshow_foods_nutrition7000.csv,,verified,
شیر پاستوریزه 3 درصد چربی,قاشق چای‌خوری (5.2 گرم),1,لبنیات,,false,3.07,0.16,0.17,0.25,,0.25,,,,,,,,,,,,,,,,0.590385,0.049178,0.090933,0.083094,0.058066,0.06885,0.070875,gymshow,gymshow_foods_nutrition7000.csv,,verified,
شیر پاستوریزه 3 درصد چربی,لیتر (1030 گرم),1,لبنیات,,false,607.7,30.9,32.96,49.44,,49.44,,,,,,,,,,,,,,,,0.59,0.049146,0.090874,0.08304,0.058028,0.068805,0.070828,gymshow,gymshow_foods_nutrition7000.csv,,verified,
شیر پاستوریزه 3 درصد چربی,لیوان (206 گرم),1,لبنیات,,false,121.54,6.18,6.59,9.89,,9.89,,,,,,,,,,,,,,,,0.59,0.049146,0.090874,0.08304,0.058028,0.068805,0.070828,gymshow,gymshow_foods_nutrition7000.csv,,verified,
شیر پاستوریزه 3 درصد چربی,میلی‌لیتر (1.03 گرم),1,لبنیات,,false,0.61,0.03,0.03,0.05,,0.05,,,,,,,,,,,,,,,,0.592233,0.049332,0.091218,0.083354,0.058248,0.069065,0.071096,gymshow,gymshow_foods_nutrition7000.csv,,verified,
شیر پاستوریزه 3 درصد چربی,گرم,100,لبنیات,,true,59,3,3.2,4.8,,4.8,,,,,,,,,,,,,,,,0.59,0.049146,0.090874,0.08304,0.058028,0.068805,0.070828,gymshow,gymshow_foods_nutrition7000.csv,,verified,
شیر پر چرب روزانه,گرم,100,لبنیات,70040,true,59,3,3.2,4.7,0,0.4,49,119,0.0604,12.9919,151,93,,,,87.69,0.053,0.083,0.38,1.5,27.4,0.59,0.049146,0.090874,0.08304,0.058028,0.068805,0.070828,merged,FoodID:70040|شیر پر چرب Milk,0.9,verified,
شیر پر چرب کاله,گرم,100,لبنیات,70040,true,60,0,1.7,0,0,0,49,119,0.0604,12.9919,151,93,,,,87.69,0.053,0.083,0.38,1.5,27.4,0.6,0.049979,0.092414,0.084448,0.059012,0.069971,0.072029,merged,FoodID:70040|شیر پر چرب Milk,0.9,needs_review,macro-energy mismatch (6.8 vs 60.0 kcal)
شیر پرچرب,لیوان (250 گرم),1,لبنیات,,false,155,8.25,8,12,,12,,,,,,,,,,,,,,,,0.62,0.051645,0.095495,0.087262,0.060979,0.072303,0.07443,gymshow,gymshow_foods_nutrition7000.csv,,verified,
شیر پرچرب,میلی‌لیتر (1 گرم),1,لبنیات,,false,0.62,0.03,0.03,0.05,,0.05,,,,,,,,,,,,,,,,0.62,0.051645,0.095495,0.087262,0.060979,0.072303,0.07443,gymshow,gymshow_foods_nutrition7000.csv,,verified,
شیر پرچرب,گرم,100,لبنیات,,true,62,3.3,3.2,4.8,,4.8,,,,,,,,,,,,,,,,0.62,0.051645,0.095495,0.087262,0.060979,0.072303,0.07443,gymshow,gymshow_foods_nutrition7000.csv,,verified,
شیر پسته,لیوان,1,خشکبار و آجیل,,false,357,15.81,13.01,43.86,3.32,,,,,,,,,,,,,,,,,1.4875,0.123907,0.229111,0.20936,0.146299,0.173469,0.178571,gymshow,gymshow_foods_nutrition7000.csv,,verified,
شیر پسته,گرم,100,خشکبار و آجیل,,true,73.33,3.87,2.37,7.2,0.43,0.5,,,,,,,,,,,,,,,,0.7333,0.061083,0.112946,0.103209,0.072122,0.085516,0.088031,gymshow,gymshow_foods_nutrition7000.csv,,verified,
شیر کامل,قاشق غذاخوری (15 گرم),1,لبنیات,70030,false,9.3,0.49,0.48,0.72,0.1743,0.76,6.45,16.95,0.0063,1.5,19.8,12.6,,,,13.2195,0.0112,0.018,0.0555,0,17,0.62,0.051645,0.095495,0.087262,0.060979,0.072303,0.07443,merged,FoodID:70030|شیر کامل Milk,1,verified,
شیر کامل,قاشق چای‌خوری (5 گرم),1,لبنیات,70030,false,3.1,0.16,0.16,0.24,0.0581,0.26,2.15,5.65,0.0021,0.5,6.6,4.2,,,,4.4065,0.0037,0.006,0.0185,0,17,0.62,0.051645,0.095495,0.087262,0.060979,0.072303,0.07443,merged,FoodID:70030|شیر کامل Milk,1,verified,
شیر کامل,لیتر (1030 گرم),1,لبنیات,70030,false,638.6,33.99,32.96,49.44,11.9665,49.44,442.9,1163.9,0.4333,103,1359.6,865.2,,,,907.739,0.7725,1.236,3.811,0,17,0.62,0.051645,0.095495,0.087262,0.060979,0.072303,0.07443,merged,FoodID:70030|شیر کامل Milk,1,verified,
شیر کامل,لیوان (240 گرم),1,لبنیات,70030,false,148.8,7.92,7.68,11.52,2.7883,11.52,103.2,271.2,0.101,24,316.8,201.6,,,,211.512,0.18,0.288,0.888,0,17,0.62,0.051645,0.095495,0.087262,0.060979,0.072303,0.07443,merged,FoodID:70030|شیر کامل Milk,1,verified,
شیر کامل,میلی‌لیتر (1.03 گرم),1,لبنیات,70030,false,0.64,0.03,0.03,0.05,0.012,0.05,0.4429,1.1639,0.0004,0.103,1.3596,0.8652,,,,0.9077,0.0008,0.0012,0.0038,0,17,0.621359,0.051758,0.095704,0.087454,0.061112,0.072462,0.074593,merged,FoodID:70030|شیر کامل Milk,1,verified,
شیر کامل,پیمانه (250 گرم),1,لبنیات,70030,false,155,8.25,8,12,2.9045,12,107.5,282.5,0.1052,25,330,210,,,,220.325,0.1875,0.3,0.925,0,17,0.62,0.051645,0.095495,0.087262,0.060979,0.072303,0.07443,merged,FoodID:70030|شیر کامل Milk,1,verified,
شیر کامل,کیلوگرم (1000 گرم),1,لبنیات,70030,false,620,33,32,48,11.6179,48,430,1130,0.4207,100,1320,840,,,,881.3,0.75,1.2,3.7,0,17,0.62,0.051645,0.095495,0.087262,0.060979,0.072303,0.07443,merged,FoodID:70030|شیر کامل Milk,1,verified,
شیر کامل,گرم,100,لبنیات,70030,true,62,3.3,3.2,4.8,1.1618,4.8,43,113,0.0421,10,132,84,,,,88.13,0.075,0.12,0.37,0,17,0.62,0.051645,0.095495,0.087262,0.060979,0.072303,0.07443,merged,FoodID:70030|شیر کامل Milk,1,verified,
شیر کامل (محلی),فنجان,1,لبنیات,70030,false,151.28,8.05,8.05,12.2,0,,51.6,135.6,0.0505,12,158.4,100.8,,,,105.756,0.09,0.144,0.444,0,17,1.260667,0.105012,0.194173,0.177434,0.12399,0.147017,0.151341,merged,FoodID:70030|شیر کامل Milk,0.9,verified,
شیر کامل (محلی),گرم,100,لبنیات,70030,true,62,3.3,3.3,5,0,,43,113,0.0421,10,132,84,,,,88.13,0.075,0.12,0.37,0,17,0.62,0.051645,0.095495,0.087262,0.060979,0.072303,0.07443,merged,FoodID:70030|شیر کامل Milk,0.9,verified,
شیر کامل خشک,قاشق غذاخوری,1,لبنیات,70030,false,49,2.63,2.63,3.94,0,,6.45,16.95,0.0063,1.5,19.8,12.6,,,,13.2195,0.0112,0.018,0.0555,0,17,3.266667,0.272109,0.503145,0.45977,0.321285,0.380952,0.392157,merged,FoodID:70030|شیر کامل Milk,0.9,verified,
شیر کامل خشک,لیوان,1,لبنیات,70030,false,735,39.45,39.45,59.1,0,,103.2,271.2,0.101,24,316.8,201.6,,,,211.512,0.18,0.288,0.888,0,17,3.0625,0.255102,0.471698,0.431034,0.301205,0.357143,0.367647,merged,FoodID:70030|شیر کامل Milk,0.9,verified,
شیر کامل خشک,گرم,100,لبنیات,70030,true,490,26.3,26.3,39.4,0,,43,113,0.0421,10,132,84,,,,88.13,0.075,0.12,0.37,0,17,4.9,0.408163,0.754717,0.689655,0.481928,0.571429,0.588235,merged,FoodID:70030|شیر کامل Milk,0.9,verified,
شیر کامل پاستوریزه,فنجان,1,لبنیات,70030,false,151.28,8.05,8.05,12.2,0,,51.6,135.6,0.0505,12,158.4,100.8,,,,105.756,0.09,0.144,0.444,0,17,1.260667,0.105012,0.194173,0.177434,0.12399,0.147017,0.151341,merged,FoodID:70030|شیر کامل Milk,0.9,verified,
شیر کامل پاستوریزه,گرم,100,لبنیات,70030,true,62,3.3,3.3,5,0,,43,113,0.0421,10,132,84,,,,88.13,0.075,0.12,0.37,0,17,0.62,0.051645,0.095495,0.087262,0.060979,0.072303,0.07443,merged,FoodID:70030|شیر کامل Milk,0.9,verified,
