name,unit,amount,category,source_external_id,is_canonical,calories,fat,protein,carbs,fiber,sugar,sodium,calcium,iron,magnesium,potassium,phosphorus,cholesterol,trans_fat,saturated_fat,water,omega3,omega6,zinc,vitamin_c,glycemic_load,kcal_per_g,burn_run_10kph_min_per_g,burn_walk_7kph_min_per_g,burn_cycle_15kph_min_per_g,burn_swim_crawl_min_per_g,burn_hike_min_per_g,burn_aerobics_min_per_g,nutrient_source,nutrient_source_ref,nutrient_match_score,data_quality_status,data_quality_flags
آب لیمو ترش ریز، تازه,قاشق غذاخوری,1,نوشیدنی,,false,1.35,0.02,0.06,0.24,0.02,,,,,,,,,,,,,,,,,0.09,0.007497,0.013862,0.012667,0.008852,0.010496,0.010804,gymshow,gymshow_foods_nutrition7000.csv,,verified,
آب لیمو ترش ریز، تازه,لیوان,1,نوشیدنی,,false,22.5,0.25,1,4,0.25,,,,,,,,,,,,,,,,,0.09375,0.007809,0.01444,0.013195,0.009221,0.010933,0.011255,gymshow,gymshow_foods_nutrition7000.csv,,verified,
آب لیمو ترش ریز، تازه,گرم,100,نوشیدنی,,true,9,0.1,0.4,1.6,0.1,,,,,,,,,,,,,,,,,0.09,0.007497,0.013862,0.012667,0.008852,0.010496,0.010804,gymshow,gymshow_foods_nutrition7000.csv,,verified,
آب لیمو شیرین,فنجان,1,نوشیدنی,,false,85.4,0,1.22,17.08,0,,,,,,,,,,,,,,,,,0.711667,0.059281,0.109614,0.100164,0.069994,0.082993,0.085434,gymshow,gymshow_foods_nutrition7000.csv,,verified,
آب لیمو شیرین,گرم,100,نوشیدنی,,true,28.5,0.1,0.4,7,0.15,2.5,,,,,,,,,,,,,,,,0.285,0.02374,0.043897,0.040113,0.02803,0.033236,0.034214,gymshow,gymshow_foods_nutrition7000.csv,,verified,
آب مرغ,فنجان,1,نوشیدنی,,false,86.4,2.88,6,8.4,0,,,,,,,,,,,,,,,,,0.72,0.059975,0.110897,0.101337,0.070814,0.083965,0.086435,gymshow,gymshow_foods_nutrition7000.csv,,verified,
آب مرغ,قاشق غذاخوری,1,نوشیدنی,,false,5.4,0.18,0.38,0.53,0,,,,,,,,,,,,,,,,,0.36,0.029988,0.055449,0.050669,0.035407,0.041983,0.043217,gymshow,gymshow_foods_nutrition7000.csv,,verified,
آب مرغ,گرم,100,نوشیدنی,,true,36,1.2,2.5,3.5,0,,,,,,,,,,,,,,,,,0.36,0.029988,0.055449,0.050669,0.035407,0.041983,0.043217,gymshow,gymshow_foods_nutrition7000.csv,,verified,
آب نارنگی,گرم,100,نوشیدنی,,true,43,0.2,0.5,10,0.2,10,,,,,,,,,,,,,,,,0.43,0.035818,0.06623,0.060521,0.042292,0.050146,0.051621,gymshow,gymshow_foods_nutrition7000.csv,,verified,
آب نارگیل,گرم,100,نوشیدنی,31090,true,19,0.2,0.7,3.7,1.1,2.6,105,24,0.2805,24.9596,250,20,,,,94.99,,0.002,0.1,2.4,17.4,0.19,0.015827,0.029265,0.026742,0.018687,0.022157,0.022809,merged,FoodID:31090|آب نارگیل coconut water,1,verified,
آب هندوانه,لیوان,1,نوشیدنی,,false,70,0.75,1.25,17.75,0.75,,,,,,,,,,,,,,,,,0.291667,0.024295,0.044924,0.041051,0.028686,0.034014,0.035014,gymshow,gymshow_foods_nutrition7000.csv,,verified,
آب هندوانه,گرم,100,نوشیدنی,,true,29,0.25,0.55,7.35,0.35,6.2,,,,,,,,,,,,,,,,0.29,0.024157,0.044667,0.040816,0.028522,0.033819,0.034814,gymshow,gymshow_foods_nutrition7000.csv,,verified,
آب هویج,قاشق غذاخوری (15 گرم),1,نوشیدنی,31030,false,5.85,0.03,0.15,1.4,0.23,0.58,9.9,3.6,0.0655,2.0984,43.8,6.3,,,,13.3305,0.0013,0.0092,0.027,1.275,,0.39,0.032486,0.060069,0.054891,0.038358,0.045481,0.046819,merged,FoodID:31030|آب هویج Carrot juice,1,verified,
آب هویج,قاشق چای‌خوری (5 گرم),1,نوشیدنی,31030,false,1.95,0.01,0.05,0.47,0.0767,0.2,3.3,1.2,0.0218,0.6995,14.6,2.1,,,,4.4435,0.0004,0.0031,0.009,0.425,,0.39,0.032486,0.060069,0.054891,0.038358,0.045481,0.046819,merged,FoodID:31030|آب هویج Carrot juice,1,verified,
آب هویج,لیتر (1000 گرم),1,نوشیدنی,31030,false,390,2,10,93,15.3357,39,660,240,4.3639,139.8922,2920,420,,,,888.7,0.09,0.61,1.8,85,,0.39,0.032486,0.060069,0.054891,0.038358,0.045481,0.046819,merged,FoodID:31030|آب هویج Carrot juice,1,verified,
